EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
70395,2007-12-29 22:00:00,40.1463,-87.4227,0,500,0,0,2007-12-31 23:59:00,40.1497,-87.4204,12786,Flood,0,0,0.0,2.655411,
70396,2007-12-29 10:00:00,40.146,-87.4204,0,500,0,0,2007-12-31 23:59:00,40.1482,-87.4175,12786,Flood,0,0,0.0,4.2325642,
379731,2012-05-07 14:35:00,40.18,-85.42,0,0,0,0,2012-05-07 14:37:00,40.18,-85.42,63420,Hail,0,0,0.88,1.7059004,
379732,2012-05-07 14:42:00,40.219,-85.3793,0,0,0,0,2012-05-07 14:42:00,40.219,-85.3793,63420,Hail,0,0,1.0,0.7885766,
379734,2012-05-07 14:45:00,40.2014,-85.3682,0,0,0,0,2012-05-07 14:47:00,40.2014,-85.3682,63420,Hail,0,0,1.0,2.0760486,
379735,2012-05-07 14:48:00,40.2074,-85.3357,0,0,0,0,2012-05-07 14:50:00,40.2074,-85.3357,63420,Hail,0,0,0.88,3.2347734,
379736,2012-05-07 14:53:00,40.2,-85.39,0,0,0,0,2012-05-07 14:55:00,40.2,-85.39,63420,Hail,0,0,0.88,2.3818232,
379738,2012-05-07 15:08:00,40.26,-85.2,0,0,0,0,2012-05-07 15:10:00,40.26,-85.2,63420,Hail,0,0,1.0,4.7636464,
379739,2012-05-07 15:24:00,40.25,-85.01,0,0,0,0,2012-05-07 15:26:00,40.25,-85.01,63420,Hail,0,0,1.0,2.3818232,
386924,2012-05-07 20:25:00,39.23,-86.62,0,1000,0,0,2012-05-07 22:00:00,39.2271,-86.6229,63420,Flood,0,0,0.0,2.1328433314,
386925,2012-05-07 21:55:00,39.2344,-86.6237,0,1000,0,0,2012-05-07 23:00:00,39.2338,-86.6229,63420,Flood,0,0,0.0,0.5793624,
